jobNumber,StartTime,EndTime,JobLength,ElapsedTime
597,1/1/2020 12:00:00 AM,1/1/2020 2:16:23 AM,7019,8183,1716
450,1/1/2020 12:00:00 AM,1/1/2020 2:16:50 AM,7834,8210,1171
200,1/1/2020 12:00:00 AM,1/1/2020 2:16:52 AM,6640,8212,476
355,1/1/2020 12:00:00 AM,1/1/2020 2:16:55 AM,7934,8215,889
739,1/1/2020 12:00:00 AM,1/1/2020 2:17:08 AM,7787,8228,2472
386,1/1/2020 12:00:00 AM,1/1/2020 2:18:29 AM,8113,8309,970
270,1/1/2020 12:00:00 AM,1/1/2020 2:18:59 AM,7644,8339,652
548,1/1/2020 12:00:00 AM,1/1/2020 2:19:03 AM,7834,8343,1513
744,1/1/2020 12:00:00 AM,1/1/2020 2:19:08 AM,7361,8348,2557
346,1/1/2020 12:00:00 AM,1/1/2020 2:19:29 AM,7461,8369,861
706,1/1/2020 12:00:00 AM,1/1/2020 2:20:18 AM,8139,8418,2228
48,1/1/2020 12:00:00 AM,1/1/2020 2:20:40 AM,7202,8440,111
466,1/1/2020 12:00:00 AM,1/1/2020 2:21:15 AM,7895,8475,1223
31,1/1/2020 12:00:00 AM,1/1/2020 2:21:19 AM,7972,8479,72
674,1/1/2020 12:00:00 AM,1/1/2020 2:21:42 AM,7705,8502,2051
164,1/1/2020 12:00:00 AM,1/1/2020 2:21:43 AM,8204,8503,388
194,1/1/2020 12:00:00 AM,1/1/2020 2:21:45 AM,7197,8505,459
222,1/1/2020 12:00:00 AM,1/1/2020 2:21:45 AM,8151,8505,529
720,1/1/2020 12:00:00 AM,1/1/2020 2:22:11 AM,7022,8531,2313
690,1/1/2020 12:00:00 AM,1/1/2020 2:22:25 AM,8105,8545,2142
209,1/1/2020 12:00:00 AM,1/1/2020 2:22:40 AM,7941,8560,498
5,1/1/2020 12:00:00 AM,1/1/2020 2:23:55 AM,7712,8635,11
303,1/1/2020 12:00:00 AM,1/1/2020 2:23:57 AM,8419,8637,736
51,1/1/2020 12:00:00 AM,1/1/2020 2:24:05 AM,7399,8645,120
512,1/1/2020 12:00:00 AM,1/1/2020 2:24:19 AM,7189,8659,1378
510,1/1/2020 12:00:00 AM,1/1/2020 2:24:21 AM,7921,8661,1363
197,1/1/2020 12:00:00 AM,1/1/2020 2:25:01 AM,7720,8701,467
600,1/1/2020 12:00:00 AM,1/1/2020 2:25:07 AM,7972,8707,1725
86,1/1/2020 12:00:00 AM,1/1/2020 2:25:12 AM,7596,8712,202
562,1/1/2020 12:00:00 AM,1/1/2020 2:25:24 AM,7630,8724,1566
81,1/1/2020 12:00:00 AM,1/1/2020 2:26:24 AM,7713,8784,189
541,1/1/2020 12:00:00 AM,1/1/2020 2:26:49 AM,8475,8809,1487
603,1/1/2020 12:00:00 AM,1/1/2020 2:26:58 AM,8138,8818,1737
24,1/1/2020 12:00:00 AM,1/1/2020 2:27:04 AM,8179,8824,55
419,1/1/2020 12:00:00 AM,1/1/2020 2:27:04 AM,7733,8824,1076
65,1/1/2020 12:00:00 AM,1/1/2020 2:27:26 AM,7294,8846,152
